Periodo;Unidad;Codigo;Poblacion;Fisioterapeutas;PctAtendida;DemoraVI;DemoraTto;PresionMes;ObjAltaPct;DolorBajaPct;CarteraPct
Dic-2025;Perales de Tajuña;16010210;36318;1;1,73;25,61;4,00;18,00;78,20;78,88;72,90
Dic-2025;Arganda del Rey;16010410;23673;1;2,79;45,08;8,93;9,00;81,29;99,12;97,30
Dic-2025;Santa Mónica;16010610;96175;4;2,79;30,50;11,09;13,92;72,77;93,54;50,60
Dic-2025;Ibiza;16011410;64476;2;2,21;19,14;4,52;12,95;88,98;94,44;78,40
Dic-2025;Arroyo Medialegua;16011710;47599;2;3,04;10,70;3,20;13,64;85,80;93,13;59,20
Dic-2025;Numancia;16011810;65611;3;2,87;36,80;7,34;12,02;87,86;90,37;61,80
Dic-2025;Ángela Uriarte;16012110;60925;3;3,85;53,82;4,29;16,60;80,39;94,95;50,50
Dic-2025;Vicente Soldevilla;16012310;34056;2;3,13;48,68;20,68;9,33;81,95;93,44;98,50
Dic-2025;Buenos Aires;16012610;42539;2;3,36;37,90;7,94;12,86;86,01;91,48;82,40
Dic-2025;Federica Montseny;16012710;92374;4;3,02;53,47;3,90;16,43;90,49;95,05;84,40
Dic-2025;Villa de Vallecas;16012910;30211;2;3,59;45,90;2,55;12,33;80,04;74,07;82,70
Dic-2025;Entrevías;16013210;39378;2;3,41;43,98;7,46;13,12;66,71;87,22;77,30
Dic-2025;Pavones;16013510;49372;2;2,84;47,29;11,94;11,33;82,45;96,97;75,40
Dic-2025;Villablanca;16014010;80025;2;1,82;79,15;14,28;17,95;80,30;95,57;55,40
Dic-2025;Arganda-Felicidad;16014110;55752;2;2,26;62,35;8,00;16,24;44,39;72,61;75,40
Dic-2025;Ensanche de Vallecas;16014210;59020;2;2,33;45,81;9,33;13,24;92,17;94,82;48,10
Dic-2025;Valleaguado;16021310;88950;5;3,76;44,13;10,61;10,63;76,89;96,16;71,60
Dic-2025;San Fernando;16021610;40483;2;2,93;30,16;10,06;14,21;81,90;95,69;58,60
Dic-2025;Mejorada del Campo;16021710;46392;2;2,05;64,17;5,24;10,69;75,29;95,45;52,80
